model,component,eigenvalue,explained_energy,cumulative_energy
CNN-SW,1,5.390567159987853,0.2685329316651138,0.2685329316651138
CNN-SW,2,2.836113217498656,0.14128194199714023,0.40981487366225405
CNN-SW,3,2.298540308849477,0.1145025651970872,0.5243174388593412
CNN-SW,4,1.6182552336852052,0.08061393341120737,0.6049313722705486
CNN-SW,5,1.421367593960628,0.07080590885002473,0.6757372811205733
CNN-SW,6,1.2557445121030497,0.0625553388445623,0.7382926199651356
CNN-SW,7,1.0347425530527488,0.0515460512860998,0.7898386712512354
CNN-SW,8,0.8281151787422414,0.041252838542602435,0.8310915097938378
CNN-SW,9,0.6548743049621516,0.0326227856484097,0.8637142954422475
CNN-SW,10,0.4940630433972228,0.024611918103093176,0.8883262135453407
CNN-SW,11,0.22941651068189062,0.011428461302377655,0.8997546748477183
CNN-SW,12,0.16147852181697922,0.008044107341120705,0.907798782188839
CNN-SW,13,0.14492535117258476,0.007219505530297117,0.9150182877191362
CNN-SW,14,0.14244041635904026,0.00709571765961983,0.922114005378756
CNN-SW,15,0.09157834149805859,0.004562006146966925,0.9266760115257229
CNN-SW,16,0.08677108526752048,0.004322531047123314,0.9309985425728462
CNN-SW,17,0.08227438004589102,0.004098526151133723,0.9350970687239799
CNN-SW,18,0.07396948006126425,0.003684814741208091,0.938781883465188
CNN-SW,19,0.07111001031693498,0.003542369285903873,0.9423242527510919
CNN-SW,20,0.0687974843292936,0.00342717001937354,0.9457514227704654
CNN-SW,21,0.06386814594657111,0.003181613355706108,0.9489330361261715
CNN-SW,22,0.056064680519179524,0.0027928810783459748,0.9517259172045175
CNN-SW,23,0.05248875012034394,0.0026147448924994593,0.954340662097017
CNN-SW,24,0.045669767704796915,0.002275054970331079,0.956615717067348
CNN-SW,25,0.043950511191574664,0.0021894096239180394,0.958805126691266
CNN-SW,26,0.043003587853914796,0.002142238316636805,0.9609473650079029
CNN-SW,27,0.04082941649370945,0.002033931232804909,0.9629812962407078
CNN-SW,28,0.03591892444434237,0.0017893134056266378,0.9647706096463344
CNN-SW,29,0.032684946423663555,0.0016282116934952223,0.9663988213398297
CNN-SW,30,0.02985823309818108,0.0014873980103075031,0.9678862193501372
CNN-SW,31,0.0277039319898105,0.0013800807698111507,0.9692663001199483
CNN-SW,32,0.02511852089609383,0.0012512876391534834,0.9705175877591018
CNN-SW,33,0.023535299093493715,0.001172418907995834,0.9716900066670976
CNN-SW,34,0.023170956861093255,0.0011542690760964894,0.9728442757431941
CNN-SW,35,0.02167166360834225,0.0010795812741198492,0.973923857017314
CNN-SW,36,0.021064039059523296,0.0010493122511017938,0.9749731692684158
CNN-SW,37,0.0194779406274241,0.0009703002196698366,0.9759434694880856
CNN-SW,38,0.018681490500882848,0.0009306247864440579,0.9768740942745296
CNN-SW,39,0.017384398108361156,0.0008660096889103966,0.97774010396344
CNN-SW,40,0.016654302069906736,0.0008296397070913234,0.9785697436705314
CNN-SW,41,0.014932658571908113,0.0007438754522219353,0.9793136191227534
CNN-SW,42,0.014055392215750532,0.000700174131103306,0.9800137932538567
