model,ood_shift,iid_best_acc,ood_loss,ood_acc,ood_drop
CNN-SW,gaussian_noise,0.9151,5.843104522705078,0.2111,0.704
CNN-SW,blur,0.9151,2.0905754920959474,0.4712,0.4439
CNN-SW,brightness_shift,0.9151,0.3052117012500763,0.9024,0.012700000000000045
CNN-SW,contrast_shift,0.9151,0.3073342805624008,0.9008,0.01429999999999998
CNN-M,gaussian_noise,0.9285,4.445519326019287,0.2671,0.6614
CNN-M,blur,0.9285,2.2303042671203612,0.5155,0.41300000000000003
CNN-M,brightness_shift,0.9285,0.2572879596233368,0.9222,0.006299999999999972
CNN-M,contrast_shift,0.9285,0.25726944694519044,0.9232,0.005299999999999971
CNN-DN,gaussian_noise,0.9269,4.311891717529297,0.2682,0.6587
CNN-DN,blur,0.9269,2.0635702507019045,0.5281,0.39879999999999993
CNN-DN,brightness_shift,0.9269,0.27598711051940916,0.9212,0.005699999999999927
CNN-DN,contrast_shift,0.9269,0.2728352912425995,0.9226,0.0042999999999999705
