model,epoch,train_loss,train_acc,test_loss,test_acc,best_test_acc,lr
CNN-SW,1,1.530195073738098,0.42828,1.3892186672210693,0.5299,0.5299,0.09990133642141358
CNN-SW,2,1.0796850106048583,0.6129,1.4436580871582032,0.5328,0.5328,0.0996057350657239
CNN-SW,3,0.8901958024787903,0.68304,1.1110255867004395,0.6171,0.6171,0.09911436253643444
CNN-SW,4,0.7819613753128052,0.7255,1.7491104534149169,0.5063,0.6171,0.09842915805643154
CNN-SW,5,0.6982916499710083,0.75782,0.8153556228637695,0.7247,0.7247,0.09755282581475767
CNN-SW,6,0.6469537290000915,0.77586,0.7983294044494629,0.7277,0.7277,0.09648882429441256
CNN-SW,7,0.6089021854400635,0.7894,0.8604202596664429,0.7354,0.7354,0.09524135262330098
CNN-SW,8,0.5766114791965484,0.8009,0.7821575922966003,0.7393,0.7393,0.09381533400219318
CNN-SW,9,0.5579316850852967,0.80816,0.7576386612892151,0.7428,0.7428,0.09221639627510075
CNN-SW,10,0.5295073605155944,0.82072,0.7983669946670532,0.7484,0.7484,0.09045084971874737
CNN-SW,11,0.511761882572174,0.8246,0.6817817752838135,0.7748,0.7748,0.08852566213878946
CNN-SW,12,0.4958178842353821,0.83056,0.6569761976242066,0.7917,0.7917,0.08644843137107057
CNN-SW,13,0.481318686132431,0.8355,1.0184580410003663,0.7057,0.7917,0.08422735529643442
CNN-SW,14,0.464804834022522,0.83978,0.521791481590271,0.8244,0.8244,0.08187119948743447
CNN-SW,15,0.45618441213607785,0.8448,0.6910547210216522,0.7747,0.8244,0.07938926261462366
CNN-SW,16,0.4427673279476166,0.85032,0.7918116738319397,0.7547,0.8244,0.07679133974894982
CNN-SW,17,0.42945277521133424,0.85312,0.6753256290435791,0.781,0.8244,0.07408768370508576
CNN-SW,18,0.425865396566391,0.85488,0.6700828116416931,0.7821,0.8244,0.07128896457825362
CNN-SW,19,0.4050099698257446,0.86172,0.5264418721199036,0.8214,0.8244,0.06840622763423389
CNN-SW,20,0.40523418981552123,0.86162,0.7493508447647095,0.7628,0.8244,0.06545084971874736
